clientId,person,position,phone,email,startDateOffset,endDateOffset
019d1009-2c4f-7d34-ab93-3cceed01cb00,Chuck Schmeler,IT Specialist,(274) 204-5496,chuck.schmeler@dooley-jacobs-and-o-conner.net,-503,-473
019d1009-2c4f-7d34-ab93-3cceed01cb00,Martina Pfeffer,CIO,(305) 206-1995,martina.pfeffer@dooley-jacobs-and-o-conner.net,-66,
019d1009-2c58-7e71-a7a6-4bb0b09b6533,Willis Anderson,IT Specialist,(561) 316-0333,willis.anderson@connelly-llc.co,-230,
019d1009-2c58-7e71-a7a6-4bb0b09b6533,Adrianna Reichert,Finance Manager,(505) 648-6910,adrianna.reichert@connelly-llc.co,-588,-223
019d1009-2c62-7df8-b8fa-22491588d3cc,Tyrone Lesch,HR Lead,(305) 279-3306,tyrone.lesch@strosin-inc.io,-313,-37
019d1009-2c62-7df8-b8fa-22491588d3cc,Judson Adams,CTO,(337) 718-0253,judson.adams@strosin-inc.io,-476,-415
019d1009-2c62-7df8-b8fa-22491588d3cc,Arlen Kihn,Finance Manager,(305) 202-7134,arlen.kihn@strosin-inc.io,-727,-513
019d1009-2c6c-7370-8952-0b943cfcb3b8,Julienne Huel,CIO,(505) 671-4234,julienne.huel@rogahn-klocko-and-hills.io,-174,
019d1009-2c7a-794c-b2ca-496cf0dff886,Jerry Goldner,CTO,(305) 272-4167,jerry.goldner@osinski-keeling.biz,-254,
019d1009-2c7a-794c-b2ca-496cf0dff886,Shantel Haley,Operations Manager,(983) 337-4151,shantel.haley@osinski-keeling.biz,-482,
019d1009-2c7a-794c-b2ca-496cf0dff886,Teena Hammes,IT Specialist,(505) 634-9653,teena.hammes@osinski-keeling.biz,-710,-649
019d1009-2c82-73d6-9095-c08d85ce2224,Ermelinda Raynor,CIO,(505) 971-1604,ermelinda.raynor@lubowitz-inc.biz,-596,
019d1009-2c82-73d6-9095-c08d85ce2224,Evelyn Pouros,Head of Procurement,(505) 609-0882,evelyn.pouros@lubowitz-inc.biz,-347,-103
019d1009-2c8a-78b9-af90-bed462fff062,Larue Reinger,Operations Manager,(872) 527-9433,larue.reinger@mcdermott-kub.co,-175,343
019d1009-2c8a-78b9-af90-bed462fff062,Noel Senger,Project Manager,(505) 638-0165,noel.senger@mcdermott-kub.co,-236,38
019d1009-2c93-7978-a81c-2e4c9cc4aacb,Hunter Howell,Head of Procurement,(520) 784-2587,hunter.howell@feest-lockman.biz,-498,-347
019d1009-2c93-7978-a81c-2e4c9cc4aacb,Carey Von,CTO,(305) 949-9051,carey.von@feest-lockman.biz,-287,
019d1009-2c93-7978-a81c-2e4c9cc4aacb,Davis Rice,CTO,(985) 491-7962,davis.rice@feest-lockman.biz,-38,355
019d1009-2c9b-7240-a82d-01080233dcce,Aurelio Lesch,Finance Manager,(636) 279-2458,aurelio.lesch@jakubowski-graham.co,-154,242
019d1009-2c9b-7240-a82d-01080233dcce,Charisse Toy,Finance Manager,(954) 819-7934,charisse.toy@jakubowski-graham.co,-76,136
019d1009-2c9b-7240-a82d-01080233dcce,Lawerence Carter,CIO,(274) 283-0827,lawerence.carter@jakubowski-graham.co,-34,
019d1009-2ca2-7acb-ab9a-ee4d220b4e14,Myrtice McClure,CTO,(505) 949-4015,myrtice.mcclure@batz-goldner.com,-711,-650
019d1009-2ca2-7acb-ab9a-ee4d220b4e14,Junior Langosh,Head of Procurement,(305) 200-1681,junior.langosh@batz-goldner.com,-437,
019d1009-2cab-7eeb-bd2d-373a2e127b07,Stanford Hyatt,Operations Manager,(305) 952-9462,stanford.hyatt@stokes-inc.net,-535,-384
019d1009-2cab-7eeb-bd2d-373a2e127b07,Elina Marquardt,CTO,(505) 646-0705,elina.marquardt@stokes-inc.net,-335,-305
019d1009-2cb3-7573-b616-62ccf532df41,Edison Howell,Operations Manager,(983) 749-4067,edison.howell@carter-stracke-and-ebert.biz,-492,-250
019d1009-2cb3-7573-b616-62ccf532df41,Ezra Leffler,CIO,(274) 212-7595,ezra.leffler@carter-stracke-and-ebert.biz,-152,213
019d1009-2cba-7721-8769-fd0139988dc9,January Jaskolski,IT Specialist,(686) 292-2090,january.jaskolski@hand-llc.co,-61,-2
019d1009-2cba-7721-8769-fd0139988dc9,Cinda Hammes,Operations Manager,(505) 642-4646,cinda.hammes@hand-llc.co,-316,
019d1009-2cba-7721-8769-fd0139988dc9,Christene Kulas,CTO,(505) 648-4337,christene.kulas@hand-llc.co,-382,75
019d1009-2cc1-7e09-916b-29d60e3f476c,Lekisha Lesch,Head of Procurement,(305) 202-2366,lekisha.lesch@kshlerin-llc.biz,-675,
019d1009-2cc1-7e09-916b-29d60e3f476c,Chong Reichel,Project Manager,(983) 250-3074,chong.reichel@kshlerin-llc.biz,-295,223
019d1009-2cc1-7e09-916b-29d60e3f476c,Deshawn Zboncak,Head of Procurement,(808) 532-4112,deshawn.zboncak@kshlerin-llc.biz,-296,-235
019d1009-2cc9-7641-a222-50a6d8d8a356,Tobias Dickinson,IT Specialist,(305) 636-0309,tobias.dickinson@dietrich-schiller-and-ruecker.net,-659,-172
019d1009-2cc9-7641-a222-50a6d8d8a356,Dortha Schuppe,Finance Manager,(505) 244-8813,dortha.schuppe@dietrich-schiller-and-ruecker.net,-712,-317
019d1009-2cc9-7641-a222-50a6d8d8a356,Isaiah Wiza,IT Specialist,(505) 668-5741,isaiah.wiza@dietrich-schiller-and-ruecker.net,-111,
019d1009-2ccf-7c5d-9372-41e28df73f3b,Darla Altenwerth,Finance Manager,(274) 269-4981,darla.altenwerth@bosco-block-and-renner.com,-302,
019d1009-2ccf-7c5d-9372-41e28df73f3b,Val Botsford,IT Specialist,(307) 772-0404,val.botsford@bosco-block-and-renner.com,-578,-456
019d1009-2cd6-7dfc-8ed8-22112fc90f90,Belva Schoen,Operations Manager,(274) 245-5518,belva.schoen@hackett-corkery-and-mraz.co,-509,-386
019d1009-2cd6-7dfc-8ed8-22112fc90f90,Cherise Schowalter,HR Lead,(505) 624-7379,cherise.schowalter@hackett-corkery-and-mraz.co,-358,
019d1009-2cd6-7dfc-8ed8-22112fc90f90,Glinda Kertzmann,Project Manager,(505) 683-7550,glinda.kertzmann@hackett-corkery-and-mraz.co,-568,
019d1009-2cdc-7794-a14a-2720b6825cb5,Logan Mills,CIO,(983) 391-6249,logan.mills@gibson-wintheiser.com,-468,-41
019d1009-2ce2-7b53-9fd5-91b8d46b3eb6,Kiley Breitenberg,Head of Procurement,(305) 310-4225,kiley.breitenberg@ward-mcdermott.biz,-175,-22
019d1009-2ce9-7020-b861-6fd1c51c844c,Johnathon Berge,CIO,(305) 277-1887,johnathon.berge@schroeder-group.net,-511,-268
019d1009-2ce9-7020-b861-6fd1c51c844c,Laurena Hickle,Finance Manager,(708) 535-7307,laurena.hickle@schroeder-group.net,-668,-454
019d1009-2cef-7ede-b401-afb67e0aa087,Rodger Dickens,Finance Manager,(505) 644-2436,rodger.dickens@thompson-llc.biz,-87,
019d1009-2cef-7ede-b401-afb67e0aa087,Sandy Kuhic,Head of Procurement,(959) 416-8943,sandy.kuhic@thompson-llc.biz,-646,-220
019d1009-2cfc-7bc0-a7b0-16911d598944,Augusta Torp,CTO,(472) 298-6088,augusta.torp@kris-skiles-and-hagenes.net,-187,55
019d1009-2cfc-7bc0-a7b0-16911d598944,Darcie Keebler,CTO,(472) 720-9749,darcie.keebler@kris-skiles-and-hagenes.net,-165,
